sid,peak_mjd,peak_mag,first_det_mjd,last_det_mjd,rise_time_days,fade_time_days,ra,dec,distance_Mpc
35729,61878.27449,23.413,61878.27449,61910.18537,45.54266,77.45353,261.45231,0.08376,728.99
35730,61377.06805,13.945,61377.06805,61385.07106,13.16662,21.16963,12.76882,-0.17403,45.11
35751,61700.05564,21.019,61700.05564,61744.12760,45.64254,89.71449,132.39031,-0.01402,374.07
35759,61495.23240,20.319,61495.23240,61555.16853,38.73068,98.66681,192.43451,-0.12274,539.19
35795,61494.02193,15.097,61494.02193,61499.00507,0.56201,5.54515,65.08071,-0.10236,188.97
35802,61322.32168,23.195,61322.32168,61332.31024,73.75658,83.74514,334.52860,-0.23860,929.95
35852,61857.01552,24.653,61857.01552,61857.01700,14.56882,14.57031,323.25768,0.08911,898.96
35878,61643.20460,21.818,61643.20460,61699.03785,37.07072,92.90398,338.29031,-0.04047,940.30
35888,61027.31049,20.755,61027.31049,61029.28918,84.27418,86.25287,133.40965,-0.41556,376.88
35893,61386.29587,23.502,61386.29587,61411.26030,55.86733,80.83176,146.80804,-0.19268,413.72
35900,61374.22719,18.682,61374.22719,61435.06790,6.29190,67.13261,70.30218,-0.17179,203.33
35942,61374.21948,19.838,61374.21948,61435.06700,10.87443,71.72196,315.39243,-0.17434,877.33
35948,62181.16562,21.446,62181.16562,62236.14847,25.20220,80.18505,77.95803,0.26378,224.38
35964,62069.32169,13.150,62069.32169,62097.28142,2.10047,30.06020,7.54064,0.21374,30.74
35987,61728.16088,14.952,61728.16088,61730.12729,8.21980,10.18621,26.74926,0.02188,83.56
36048,61613.27447,19.179,61613.27447,61654.34194,49.37491,90.44238,25.76262,-0.06364,80.85
36058,62468.27547,21.169,62468.27547,62527.06314,22.46965,81.25732,227.71451,0.43290,636.21
36072,62182.23895,22.172,62182.23895,62187.31678,81.29531,86.37314,316.93318,0.23268,881.57
36077,61646.26704,19.978,61646.26704,61711.07944,19.85192,84.66432,257.13501,-0.02936,717.12
36091,61845.36482,17.486,61845.36482,61845.38726,72.53734,72.55979,4.90464,0.05087,23.49
36105,61699.33209,20.884,61699.33209,61711.28537,82.86699,94.82026,152.22442,-0.03481,428.62
36110,62128.29700,24.048,62128.29700,62129.28019,32.51201,33.49519,90.42378,0.22978,258.67
36113,61837.33558,20.617,61837.33558,61837.33602,91.02467,91.02511,261.66005,0.03633,729.57
36116,61273.33650,23.259,61273.33650,61273.33694,88.53389,88.53434,238.73028,-0.27471,666.51
36124,62382.33994,19.958,62382.33994,62449.29232,11.06053,78.01291,308.78090,0.38837,859.15
36150,61060.06498,22.085,61060.06498,61086.28739,20.33863,46.56105,52.66541,-0.35836,154.83
36182,61377.06805,16.878,61377.06805,61385.07061,41.24489,49.24746,37.92664,-0.18967,114.30
36188,61402.11871,19.491,61402.11871,61435.06970,6.10270,39.05369,302.72381,-0.15620,842.49
36212,62182.23716,21.140,62182.23716,62236.15069,32.07876,85.99229,78.24541,0.26049,225.17
36221,62120.14816,19.048,62120.14816,62143.12970,36.38871,59.37025,107.55692,0.22302,305.78
36225,61789.06903,21.986,61789.06903,61798.12186,18.80091,27.85374,101.60076,0.04947,289.40
36287,61435.30508,22.733,61435.30508,61497.13389,8.34000,70.16881,266.66358,-0.13906,743.32
36291,62381.30425,16.010,62381.30425,62393.31765,10.89845,22.91186,113.65317,0.38785,322.55
36292,62482.30119,22.600,62482.30119,62510.28210,56.83592,84.81683,347.90649,0.42066,966.74
36296,61447.29299,19.732,61447.29299,61475.32024,57.91247,85.93972,148.07453,-0.15988,417.20
36355,61728.17593,18.246,61728.17593,61730.28297,25.11436,27.22140,152.52139,0.01263,429.43
36385,61730.11309,21.057,61730.11309,61798.11740,14.14258,82.14688,227.46557,0.01971,635.53
36425,62468.17356,18.122,62468.17356,62527.06226,7.88635,66.77504,95.68410,0.44166,273.13
36436,62585.01972,20.389,62585.01972,62594.00373,51.50908,60.49309,115.12573,0.48652,326.60
36478,61402.14890,12.964,61402.14890,61474.02407,1.56402,73.43919,27.11180,-0.15367,84.56
36489,62482.30208,19.408,62482.30208,62510.28210,24.86226,52.84228,347.86089,0.43993,966.62
36498,61063.30138,20.577,61063.30138,61117.06431,18.44100,72.20394,172.19958,-0.35536,483.55
36514,62128.29476,20.788,62128.29476,62150.29759,76.89368,98.89650,197.39573,0.20488,552.84
36516,61790.27124,20.334,61790.27124,61798.20698,4.44797,12.38371,191.08165,0.05800,535.47
36545,61227.32091,22.217,61227.32091,61230.23744,2.45755,5.37409,105.73168,-0.25198,300.76
36550,61621.99673,17.455,61621.99673,61622.00433,3.37739,3.38499,148.29170,-0.03363,417.80
36552,61885.24504,14.756,61885.24504,61886.17648,11.37792,12.30936,4.05525,0.10640,21.15
36574,61802.34460,20.832,61802.34460,61805.31457,71.87487,74.84484,172.89391,0.02765,485.46
36583,62186.34293,21.669,62186.34293,62212.37967,48.59315,74.62989,79.62211,0.25346,228.96
36589,61499.34642,20.521,61499.34642,61499.34686,95.54549,95.54593,218.47578,-0.15188,610.81
36656,61140.14407,20.435,61140.14407,61141.16342,9.24489,10.26425,160.64396,-0.30553,451.77
36661,61818.04412,22.190,61818.04412,61818.04456,16.59955,16.60000,309.80508,0.06658,861.96
36678,61678.26397,18.161,61678.26397,61763.12733,2.51802,87.38138,264.59619,-0.00233,737.64
